Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73662";"2001##00302227";"Piso";"206100";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73663";"2001##00302228";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73664";"2001##00302229";"Piso";"181900";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73665";"2001##00302230";"Piso";"221800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73666";"2001##00302231";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73667";"2001##00302232";"Piso";"217600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73668";"2001##00302233";"Piso";"193500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73669";"2001##00302234";"Piso";"177700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73670";"2001##00302235";"Piso";"181900";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73671";"2001##00302236";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73672";"2001##00302237";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73673";"2001##00302238";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73674";"2001##00302239";"Piso";"187200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73675";"2001##00302240";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73676";"2001##00302242";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73677";"2001##00302243";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73678";"2001##00302244";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73679";"2001##00302246";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73680";"2001##00302247";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73681";"2001##00302248";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73682";"2001##00302249";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73683";"2001##00302250";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73684";"2001##00302251";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73685";"2001##00302252";"Piso";"206100";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73686";"2001##00302253";"Piso";"215500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73687";"2001##00302254";"Piso";"186600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73688";"2001##00302255";"Piso";"192400";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73689";"2001##00302256";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73690";"2001##00302257";"Piso";"181900";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73691";"2001##00302258";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73692";"2001##00302259";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73693";"2001##00302260";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73694";"2001##00302261";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73695";"2001##00302262";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73696";"2001##00302263";"Piso";"187200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73697";"2001##00302264";"Piso";"192400";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73698";"2001##00302265";"Piso";"187200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73699";"2001##00302266";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73700";"2001##00302267";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73701";"2001##00302268";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73702";"2001##00302269";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73703";"2001##00302270";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73704";"2001##00302271";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73705";"2001##00302272";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73706";"2001##00302273";"Piso";"199800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73707";"2001##00302274";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73708";"2001##00302275";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73709";"2001##00302276";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73710";"2001##00302277";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73711";"2001##00302278";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73712";"2001##00302279";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73713";"2001##00302280";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73714";"2001##00302281";"Piso";"214500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73715";"2001##00302282";"Piso";"199800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73716";"2001##00302283";"Piso";"192400";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73717";"2001##00302284";"Piso";"187200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73718";"2001##00302285";"Piso";"199800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73719";"2001##00302286";"Piso";"178800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73720";"2001##00302287";"Piso";"186600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73721";"2001##00302288";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73722";"2001##00302289";"Piso";"210300";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73723";"2001##00302290";"Piso";"199800";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"76024";"2001##00303574";"Piso";"136600";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81931";"2001##00303565";"Trastero";"1500";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81932";"2001##00303566";"Trastero";"1500";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81933";"2001##00303567";"Trastero";"2200";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81934";"2001##00303568";"Trastero";"1500";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81935";"2001##00303569";"Trastero";"1500";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81936";"2001##00303570";"Trastero";"1500";"0";
"IDD32877";"SAREB";"Barcelona";"Sentmenat";"JHON LENNON";"37";"8181";"81937";"2001##00303571";"Trastero";"1800";"0";
"IDD27066";"SAREB";"Alicante";"Daya";"MIGUEL ANGEL BLANCO";"1";"3159";"63278";"2001##00328492";"Garaje";"388500";"0";
"IDD19344";"SAREB";"Tarragona";"La";"TER";"38";"43717";"53952";"2001##00306411";"Casa";"131000";"0";
"IDD43633";"SAREB";"Toledo";"Mentrida";"JOAQUIN GONZALEZ";"9";"45930";"86827";"2001##00303807";"Piso";"46200";"0";
